ID,Poklic
266026,Politolog
266026,Ekonomist
266026,Politik
267826,Duhovnik
267826,Pisatelj
268003,Partizan
268003,Politik
268003,Pisatelj
268621,Prevajalec
268621,Duhovnik
268621,Pisatelj
269029,Judoist
269029,Vojaška osebnost
269065,Alpski smučar
269092,Pevec
269146,Biatlonec
269146,Smučarski tekač
269146,Kolesar
271356,Atlet
271363,Alpski smučar
271378,Alpski smučar
271378,Novinar
277836,Šahist
277836,Geograf
281838,Nabožni pisatelj
281838,Učitelj
281838,Pisatelj
282217,Nogometaš
282653,Diplomat
282653,Politični komisar
282653,Politik
284450,Filmski igralec
284450,Gledališki igralec
284450,Pevec
284450,Igralec
287014,Nogometaš
287014,Nogometni trener
287267,Tenisač
287332,Operni pevec
287332,Pevec
287352,Alpski smučar
290571,Smučarski skakalec
290705,Vojak
290705,Aristokrat
290705,Politik
298491,Nogometaš
301171,Jezikoslovec
301171,Esejist
301171,Mladinski pisatelj
301171,Literarni kritik
301171,Prevajalec
301171,Dramatik
301171,Pesnik
301171,Pisatelj
310106,Zgodovinar moderne dobe
310106,Filozof
310106,Sociolog
310106,Novinar
310106,Univerzitetni profesor
310106,Prevajalec
310106,Zgodovinar
310106,Politik
311328,Nogometaš
314736,Nogometaš
314886,Univerzitetni profesor
314886,Urbanist
314886,Arhitekt
315246,Nogometni sodnik
318926,Košarkar
319533,Gledališki kritik
319533,Esejist
319533,Kritik
319533,Urednik
319533,Partizan
319533,Učitelj
319533,Pisatelj
321636,Glasbeni učitelj
321636,Univerzitetni profesor
321636,Violinist
321636,Glasbenik
322609,Teolog
322609,Duhovnik
322616,Duhovnik
322616,Skladatelj
322661,Zborovodja
322661,Duhovnik
322661,Dirigent
322661,Skladatelj
322818,Šahist
322818,Šahovski problemist
324129,Jezikoslovec
324129,Mladinski pisatelj
324129,Literarni urednik
324129,Novinar
324129,Prevajalec
324129,Pesnik
324129,Pisatelj
324198,Rokometaš
328366,Nogometaš
328418,Glasbeni učitelj
328418,Skladatelj
328422,Trener alpskega smučanja
328422,Alpski smučar
328436,Kipar
328436,Pisatelj
328492,Filmski igralec
328492,Gledališki igralec
328492,Igralec
329536,Nogometaš
329542,Nogometaš
329542,Nogometni trener
331062,Alpski smučar
336503,Košarkarski trener
336503,Košarkar
337420,Biatlonec
338876,Filozof
342406,Nogometaš
343307,Univerzitetni profesor
343307,Nogometaš
343307,Nogometni trener
343329,Filmski režiser
343342,Kolesar
343342,Športni strokovni komentator
344599,Kritik
344599,Filozof
344599,Literarni kritik
344599,Teolog
344599,Škof
344599,Duhovnik
344599,Pesnik
344599,Pisatelj
345330,Deskar na snegu
345336,Novinar
345336,Zgodovinar
345336,Vojni dopisnik
346712,Nogometaš
348832,Jezikoslovec
348832,Ravnatelj
348832,Učitelj
348832,Pisatelj
350118,Hokejist
350121,Biatlonec
350125,Biatlonec
350345,Nogometaš
350372,Nogometaš
351683,Esejist
351683,Romanopisec
351683,Dramatik
351683,Pisatelj
352413,Šahist
352583,Kolesar
352593,Nabožni pisatelj
352593,Avtor
352593,Duhovnik
352593,Politik
352593,Pisatelj
352600,Univerzitetni profesor
352600,Teolog
352600,Škof
352600,Duhovnik
352600,Učitelj
353534,Nogometaš
353534,Nogometni trener
354234,Telovadec
354234,Orodni telovadec
